DateTime,AddedIPs,RemovedIPs
1492452019,397,319
1492466422,350,378
1492480820,341,370
1492495224,360,341
1492509620,348,366
1492524019,343,360
1492538417,360,319
1492552820,354,353
1492567221,322,367
1492581619,327,382
1492596019,365,389
1492610419,353,413
1492624818,343,352
1492639216,344,354
1492653622,332,344
1492668020,318,342
1492682418,320,311
1492696819,332,358
1492711220,362,326
1492725619,368,338
1492740021,324,330
1492754419,424,385
1492768818,328,347
1492783220,344,325
1492797619,337,342
1492812019,301,329
1492826421,313,304
1492840829,345,326
1492855219,354,343
1492869619,348,363
1492884019,334,366
1492898418,288,356
1492912817,303,395
1492927221,333,339
1492941617,348,356
1492956018,339,325
1492970417,327,310
1492984817,308,309
1492999217,291,368
1493013622,303,347
1493028018,321,337
1493042418,346,322
1493056823,363,305
1493071218,359,307
1493085617,394,336
1493100022,405,340
1493114420,439,317
1493128818,438,317
1493143219,416,279
1493157619,440,301
1493172019,366,305
1493186423,334,325
1493200820,384,330
1493215219,351,370
1493229618,348,351
1493244020,365,405
1493258420,382,421
1493272826,365,436
1493287220,355,438
1493301620,362,417
1493316020,329,397
1493330420,328,354
1493344820,358,352
1493359224,387,376
1493373620,379,347
1493388019,389,378
1493402418,382,369
1493416820,361,403
1493431218,340,368
1493445623,366,351
1493460019,367,354
1493474419,334,335
1493488819,339,323
1493503223,373,376
1493517619,318,359
1493532023,356,397
1493546419,319,390
1493560818,342,372
1493575225,343,366
1493589629,323,316
1493604037,302,382
1493618421,326,329
1493632817,311,328
1493647217,365,384
1493661618,354,364
1493676016,300,341
1493690415,330,367
1493704821,334,315
1493719216,267,359
1493733617,318,338
1493748019,351,305
1493762418,338,308
1493776819,327,329
1493791220,339,305
1493805619,304,338
1493820018,332,371
1493834419,356,288
1493848818,323,323
1493863218,302,331
1493877622,335,286
1493892021,344,320
1493906496,385,327
1493920818,339,334
1493935218,324,350
1493949619,326,330
1493964020,342,319
1493978418,352,338
1493992818,357,354
1494007218,331,301
1494021618,336,292
1494036017,349,364
1494050421,334,352
1494064819,353,357
1494079218,330,330
1494093618,351,341
1494108017,304,323
1494122418,328,366
1494136823,342,342
1494151219,334,345
1494165617,364,341
1494180018,380,335
1494194419,333,336
1494208819,325,354
1494223232,347,328
1494237619,378,332
1494252020,312,322
1494266418,302,300
1494280818,308,351
1494295218,283,348
1494309623,366,353
1494324018,312,376
1494338428,314,357
1494352818,303,343
1494367219,303,337
1494381618,330,352
1494396022,307,345
1494410419,356,318
1494424819,328,321
1494439218,341,304
1494453621,303,313
1494468018,289,344
1494482421,322,313
1494496818,349,317
1494511219,331,294
1494525619,312,322
1494540018,325,317
1494554419,335,324
1494568821,360,339
1494583219,317,320
1494597619,351,340
1494612021,325,326
1494626422,335,293
1494640820,327,355
1494655222,324,357
1494669620,343,319
1494684019,353,327
1494698420,350,315
1494712819,299,326
1494727218,299,351
1494741623,304,318
1494756019,300,344
1494770418,267,512
1494784818,534,316
1494799219,294,320
1494813618,304,363
1494828021,325,343
1494842419,351,362
1494856817,334,341
1494871218,307,307
1494885618,337,304
1494900018,277,291
1494914424,354,293
1494928818,307,295
1494943218,326,342
1494957651,331,271
1494972018,374,304
1494986420,350,327
1495000825,340,331
1495015219,332,319
1495029618,347,322
1495044021,346,336
1495058420,330,299
1495072819,361,345
1495087224,312,317
1495101620,363,309
1495116017,357,348
1495130420,353,364
1495144819,348,358
1495159219,356,341
1495173624,341,327
1495188019,348,341
1495202424,362,347
1495216822,371,363
1495231222,361,322
1495245621,330,337
1495260022,380,359
1495274421,341,356
1495288820,346,376
1495303221,342,324
1495317620,326,375
1495332018,337,345
1495346423,339,339
1495360820,382,366
1495375220,304,367
1495389619,358,366
1495404020,356,306
1495418419,312,387
1495432819,365,334
1495447219,360,356
1495461619,356,346
1495476023,369,335
1495490420,343,344
1495504821,360,367
1495519227,360,366
1495533619,333,313
1495546332,277,267
1495559413,316,358
1495573813,318,313
1495588213,305,358
1495602613,362,365
1495617013,378,344
1495631418,401,361
1495645813,375,356
1495660213,392,349
1495674613,381,338
1495689014,422,451
1495703413,487,348
1495717819,353,311
1495732215,397,315
1495746615,302,330
1495761014,328,370
1495775413,335,372
1495789814,392,406
1495804220,351,355
1495818613,363,374
1495833013,369,392
1495847429,330,403
1495861813,368,373
1495876213,346,327
1495897815,531,541
1495912214,361,303
1495926613,313,343
1495941013,308,371
1495955414,355,366
1495969813,301,372
1495984213,316,408
1495998613,320,348
1496013012,311,361
1496027412,305,351
1496041813,335,353
1496056213,366,328
1496070612,330,341
1496085013,362,310
1496099416,351,304
1496113813,296,350
1496128212,365,314
1496142613,291,311
1496157110,356,326
1496171413,296,312
1496185813,297,329
