DateTime,Entries,UniqueIPs
1495815140,4899,4899
1495816100,4900,4900
1495816578,4899,4899
1495817059,4900,4900
1495818263,4899,4899
1495819699,4900,4900
1495820182,4899,4899
1495822579,4900,4900
1495823304,4899,4899
1495824259,4900,4900
1495824742,4899,4899
1495826659,4900,4900
1495827143,4898,4898
1495827622,4898,4898
1495828347,4898,4898
1495830020,4899,4899
1495830499,4898,4898
1495835299,4899,4899
1495835779,4898,4898
1495836260,4897,4897
1495836745,4898,4898
1495838179,4899,4899
1495838662,4898,4898
1495839858,4899,4899
1495840343,4898,4898
1495840822,4899,4899
1495841303,4898,4898
1495842259,4899,4899
1495843705,4898,4898
1495847059,4895,4895
1495847541,4894,4894
1495848022,4892,4892
1495848500,4892,4892
1495848979,4893,4893
1495849459,4895,4895
1495849939,4894,4894
1495850659,4892,4892
1495851140,4893,4893
1495852580,4894,4894
1495853063,4893,4893
1495854979,4894,4894
1495855704,4893,4893
1495857139,4894,4894
1495857861,4893,4893
1495858823,4892,4892
1495859300,4893,4893
1495860260,4892,4892
1495860739,4893,4893
1495861462,4892,4892
1495862899,4893,4893
1495863379,4892,4892
1495863859,4893,4893
1495864347,4892,4892
1495865060,4893,4893
1495865544,4892,4892
1495866020,4893,4893
1495866982,4892,4892
1495867938,4893,4893
1495868662,4892,4892
1495869140,4893,4893
1495870105,4892,4892
1495872739,4893,4893
1495873223,4891,4891
1495873698,4893,4893
1495874182,4892,4892
1495874659,4893,4893
1495875146,4892,4892
1495877062,4893,4893
1495877542,4892,4892
1495878021,4893,4893
1495878501,4892,4892
1495880421,4893,4893
1495880901,4892,4892
1495881859,4893,4893
1495882341,4892,4892
1495884261,4893,4893
1495884745,4892,4892
1495885221,4893,4893
1495885701,4892,4892
1495887380,4893,4893
1495888105,4892,4892
1495889539,4893,4893
1495890263,4892,4892
1495891221,4893,4893
1495891703,4892,4892
1495898661,4893,4893
1495899139,4892,4892
1495900100,4893,4893
1495900582,4892,4892
1495901541,4891,4891
1495902025,4892,4892
1495905139,4893,4893
1495905624,4892,4892
1495911138,4893,4893
1495912102,4892,4892
1495913541,4891,4891
1495914022,4892,4892
1495914505,4891,4891
1495924823,4890,4890
1495925299,4892,4892
1495925782,4891,4891
1495926988,4891,4891
1495927460,4892,4892
1495927942,4891,4891
1495928422,4891,4891
1495928907,4891,4891
1495930340,4890,4890
1495930824,4890,4890
1495931299,4891,4891
1495931783,4891,4891
1495932259,4892,4892
1495932746,4891,4891
1495933705,4888,4888
1495934181,4891,4891
1495934662,4889,4889
1495935143,4890,4890
1495935624,4890,4890
1495936099,4890,4890
1495936587,4896,4896
1495937062,4894,4894
1495937545,4896,4896
1495938021,4897,4897
1495938506,4896,4896
1495938980,4897,4897
1495939461,4896,4896
1495939939,4897,4897
1495940665,4896,4896
1495941620,4897,4897
1495942101,4896,4896
1495942578,4897,4897
1495943063,4896,4896
1495944741,4896,4896
1495945223,4895,4895
1495945702,4896,4896
1495949062,4897,4897
1495949784,4895,4895
1495950263,4896,4896
1495951939,4897,4897
1495952422,4896,4896
1495953379,4897,4897
1495955061,4895,4895
1495955541,4896,4896
1495956499,4897,4897
1495956982,4896,4896
1495957459,4897,4897
1495957943,4896,4896
1495959379,4897,4897
1495959863,4896,4896
1495960339,4897,4897
1495960826,4896,4896
1495965859,4897,4897
1495966339,4896,4896
1495967779,4897,4897
1495968744,4896,4896
1495973058,4897,4897
1495973543,4896,4896
1495975938,4897,4897
1495976904,4895,4895
1495978819,4897,4897
1495979306,4895,4895
1495980740,4896,4896
1495981226,4895,4895
1495984340,4896,4896
1495984821,4895,4895
1495985305,4895,4895
1495986259,4896,4896
1495986739,4895,4895
1495992262,4896,4896
1495993224,4895,4895
1495995861,4896,4896
1495996340,4895,4895
1495998738,4896,4896
1495999224,4895,4895
1496004021,4896,4896
1496004500,4895,4895
1496006659,4896,4896
1496007147,4895,4895
1496008579,4896,4896
1496009066,4895,4895
1496013622,4895,4895
1496014105,4895,4895
