DateTime,Entries,UniqueIPs
1496136121,80,80
1496136722,80,80
1496137321,80,80
1496138521,80,80
1496139722,80,80
1496140921,80,80
1496141522,80,80
1496142121,80,80
1496143322,80,80
1496144523,80,80
1496145122,80,80
1496145721,80,80
1496146322,80,80
1496146922,80,80
1496147521,80,80
1496148122,80,80
1496149321,80,80
1496150521,80,80
1496151121,80,80
1496151721,80,80
1496152321,80,80
1496152921,80,80
1496153522,80,80
1496154122,80,80
1496155322,80,80
1496155921,80,80
1496156522,80,80
1496157122,80,80
1496157722,80,80
1496158322,80,80
1496158922,80,80
1496159522,80,80
1496160122,80,80
1496160722,80,80
1496161321,80,80
1496162522,80,80
1496163722,80,80
1496164922,80,80
1496166121,80,80
1496166722,80,80
1496167321,80,80
1496167922,80,80
1496168522,80,80
1496169122,80,80
1496169722,80,80
1496170922,80,80
1496172121,80,80
1496172721,80,80
1496173321,80,80
1496173922,80,80
1496174522,80,80
1496175121,80,80
1496175722,80,80
1496176322,80,80
1496176921,80,80
1496178122,80,80
1496178722,80,80
1496179322,80,80
1496180522,80,80
1496181722,80,80
1496182322,80,80
1496182922,80,80
1496183522,80,80
1496184122,80,80
1496184721,80,80
1496185322,80,80
1496186522,80,80
1496187122,80,80
1496187721,80,80
1496188322,80,80
1496188922,80,80
1496189521,80,80
1496190122,80,80
1496190723,80,80
1496191322,80,80
1496192522,80,80
1496193722,80,80
1496194322,80,80
1496194921,80,80
1496195522,80,80
1496196122,80,80
1496197321,80,80
1496197922,80,80
1496198522,80,80
1496199122,80,80
1496199722,80,80
1496200921,80,80
1496202121,80,80
1496203322,80,80
1496203922,80,80
1496204521,80,80
