DateTime,Entries,UniqueIPs
1496003728,2858,2858
1496004150,2860,2860
1496006058,2846,2846
1496007024,2837,2837
1496007926,2826,2826
1496008869,2822,2822
1496009661,2826,2826
1496010609,2804,2804
1496011474,2815,2815
1496012731,2788,2788
1496013626,2796,2796
1496016189,2756,2756
1496017219,2761,2761
1496018329,2715,2715
1496019508,2688,2688
1496020531,2720,2720
1496021305,2781,2781
1496022326,2815,2815
1496023281,2852,2852
1496024379,2874,2874
1496025412,2903,2903
1496027122,2966,2966
1496027659,2992,2992
1496028753,3033,3033
1496030725,3100,3100
1496031633,3142,3142
1496032529,3145,3145
1496033389,3205,3205
1496034328,3223,3223
1496034882,3245,3245
1496035831,3253,3253
1496036727,3289,3289
1496037675,3277,3277
1496038530,3301,3301
1496039429,3291,3291
1496040329,3319,3319
1496041482,3315,3315
1496042426,3342,3342
1496044520,3370,3370
1496046623,3377,3377
1496047533,3398,3398
1496048686,3397,3397
1496049263,3413,3413
1496050233,3411,3411
1496050941,3424,3424
1496052244,3415,3415
1496053232,3444,3444
1496054560,3449,3449
1496055522,3450,3450
1496056466,3471,3471
1496057426,3455,3455
1496058329,3453,3453
1496059528,3472,3472
1496060429,3497,3497
1496061322,3489,3489
1496063424,3487,3487
1496065351,3502,3502
1496067261,3511,3511
1496068106,3534,3534
1496068999,3510,3510
1496070366,3509,3509
1496071943,3506,3506
1496073024,3529,3529
1496073919,3533,3533
1496074827,3555,3555
1496076144,3547,3547
1496077525,3532,3532
1496078425,3556,3556
1496078902,3564,3564
1496079745,3540,3540
1496080584,3548,3548
1496081430,3547,3547
1496082628,3540,3540
1496083544,3556,3556
1496084710,3548,3548
1496085520,3568,3568
1496086828,3556,3556
1496087725,3567,3567
1496088628,3561,3561
1496089831,3544,3544
1496090730,3570,3570
1496091533,3545,3545
1496092531,3561,3561
1496093433,3670,3670
1496094145,3672,3672
1496094982,3692,3692
1496095823,3698,3698
1496097024,3695,3695
1496097900,3712,3712
1496099664,3733,3733
1496100470,3751,3751
1496101527,3746,3746
1496102575,3739,3739
1496103459,3756,3756
1496104831,3750,3750
1496106291,3751,3751
1496107226,3756,3756
1496108428,3749,3749
1496109929,3745,3745
1496110830,3762,3762
1496112031,3770,3770
1496112924,3790,3790
1496113829,3775,3775
1496114974,3776,3776
1496115738,3789,3789
1496116583,3792,3792
1496117424,3779,3779
1496118630,3779,3779
1496119526,3776,3776
1496120722,3716,3716
1496121626,3733,3733
1496122830,3725,3725
1496123724,3745,3745
1496124627,3732,3732
1496126202,3746,3746
1496128228,3759,3759
1496129429,3756,3756
1496130329,3775,3775
1496131160,3766,3766
1496132135,3785,3785
1496133041,3783,3783
1496133928,3782,3782
1496134859,3772,3772
1496135729,3783,3783
1496136523,3798,3798
1496137467,3788,3788
1496138283,3791,3791
1496139334,3776,3776
1496140252,3762,3762
1496141157,3767,3767
1496142203,3753,3753
1496143058,3764,3764
1496143872,3736,3736
1496144748,3743,3743
1496145784,3728,3728
1496146831,3740,3740
1496147801,3733,3733
1496148621,3735,3735
1496149531,3713,3713
1496150418,3725,3725
1496150905,3731,3731
1496151923,3707,3707
1496153134,3706,3706
1496154031,3720,3720
1496154924,3688,3688
1496157043,3694,3694
1496158101,3715,3715
1496158946,3715,3715
1496159873,3728,3728
1496160891,3725,3725
1496161703,3728,3728
1496164774,3725,3725
1496165737,3735,3735
1496168129,3733,3733
1496169647,3744,3744
1496173181,3730,3730
